"['林和', '天河北']",广州易幻网络科技有限公司,6138,易幻网络,150-500人,2019-12-10 17:48:36,天河区,本科,上市公司,游戏,Python 开发工程师（2020届校招）,8k-12k
"['皂君庙', '北下关', '中关村']",北京理享家商务信息咨询有限公司,68190,北京理享家,150-500人,2019-12-10 11:42:30,海淀区,本科,D轮及以上,金融,Python高级开发工程师,15k-25k
,成都知道创宇信息技术有限公司,53142,知道创宇,500-2000人,2019-12-10 10:18:02,江夏区,本科,C轮,信息安全,python后端工程师(J10420),10k-15k
"['周家嘴路', '四平路', '临平路']",上海启日信息技术有限公司,353209,ONEROOT,50-150人,2019-12-10 09:59:23,虹口区,本科,不需要融资,移动互联网,python开发工程师,15k-25k
,因诺（上海）资产管理有限公司,76799,因诺,15-50人,2019-12-10 09:54:35,西城区,硕士,不需要融资,金融,Python开发工程师,15k-20k
,郑州创恒实业有限公司,28890,郑州创恒实业有限公司,150-500人,2019-12-10 09:42:16,金水区,本科,未融资,移动互联网,高级Python开发工程师,7k-10k
"['望京', '大山子', '花家地']",北京完美创意科技有限公司,766,更美APP,150-500人,2019-11-14 22:02:26,朝阳区,本科,D轮及以上,"移动互联网,消费生活",python,20k-35k
['龙华'],上海极选网络科技有限公司,429833,上海极选网络科技有限公司,15-50人,2019-12-09 19:12:48,徐汇区,不限,未融资,"移动互联网,人工智能",python技术主管（有期权和良好上升空间）,15k-20k
,深圳市升幂科技有限公司,477442,升幂科技,少于15人,2019-12-10 14:24:10,南山区,本科,未融资,"金融,人工智能",Python后端工程师,12k-16k
,杭州大搜车汽车服务有限公司,18655,大搜车,2000人以上,2019-12-10 11:21:52,余杭区,本科,D轮及以上,汽车丨出行,Python研发工程师（数据平台）,9k-15k
,东莞美信企业管理咨询有限公司,82895477,东莞美信,2000人以上,2019-12-10 09:54:17,东莞市市辖区,不限,上市公司,汽车丨出行,软件工程师（Python）,8k-10k
['张江'],上海亦存网络科技有限公司,55021,坚果云,50-150人,2019-12-10 09:54:33,浦东新区,本科,不需要融资,"企业服务,数据服务",Python开发（自动化运维方向）,15k-25k
,杭州览众数据科技有限公司,93448,览众数据,150-500人,2019-12-10 16:00:28,滨江区,本科,B轮,"人工智能,数据服务",后端工程师（Python方向）,14k-25k
"['员村', '东圃']",广州智品移动技术有限公司,9043,智品网络,50-150人,2019-12-10 10:55:43,天河区,本科,A轮,"移动互联网,电商",游戏客户端开发（C++/Python/Cocos）,18k-30k
