businessZones,companyFullName,companyId,companyShortName,companySize,createTime,district,education,financeStage,industryField,positionName,salary
,孩子王儿童用品股份有限公司,31945,孩子王,2000人以上,2019-09-16 09:01:46,江宁区,本科,C轮,消费生活,大数据研发工程师,20k-40k
,北京字节跳动科技有限公司,62,字节跳动,2000人以上,2019-09-22 06:45:16,建邺区,本科,C轮,文娱丨内容,服务端开发工程师,20k-40k
"['安德门', '小行']",南京彩晔信息科技有限公司,139110,彩晔科技,50-150人,2019-09-20 17:52:47,雨花台区,大专,未融资,"移动互联网,电商",大数据开发工程师,10k-15k
['宁南'],江苏飞搏软件股份有限公司,113971,飞搏软件,150-500人,2019-09-20 09:25:11,雨花台区,本科,上市公司,"信息安全,其他",大数据开发工程师,13k-18k
['光华路'],南京网感至察信息科技有限公司,42406,网感至察,15-50人,2019-09-20 11:29:15,秦淮区,本科,天使轮,数据服务,前端工程师,10k-20k
"['莫愁湖公园', '汉中门大街', '建邺万达']",江苏南大数码科技有限公司,76797,南大数码,15-50人,2019-09-20 11:17:51,建邺区,本科,未融资,"移动互联网,数据服务",后端开发,12k-16k
['奥体'],安徽华米信息科技有限公司,190042,华米科技,150-500人,2019-09-18 11:30:22,建邺区,本科,上市公司,移动互联网,大数据开发工程师 (MJ000221),15k-30k
['开发区'],北京网思科平科技有限公司,64490,网思科平,50-150人,2019-09-20 16:39:39,江宁区,本科,C轮,"信息安全,数据服务",大数据开发工程师,12k-18k
,成都冰鉴信息科技有限公司,364616,冰鉴科技,150-500人,2019-09-17 15:57:54,鼓楼区,硕士,B轮,"移动互联网,金融",模型开发工程师--风控模型,15k-30k
,南京贝湾信息科技有限公司,13789,扇贝,150-500人,2019-09-20 13:40:21,玄武区,不限,B轮,"移动互联网,教育",后端开发工程师,9k-18k
,南京贝湾信息科技有限公司,13789,扇贝,150-500人,2019-09-20 13:40:21,玄武区,不限,B轮,"移动互联网,教育",后端开发工程师（校招）,8k-12k
,孩子王儿童用品股份有限公司,31945,孩子王,2000人以上,2019-09-16 10:59:47,江宁区,本科,C轮,消费生活,大数据开发工程师,17k-30k
['奥体'],杭州丈浔科技有限公司,66574,丈浔科技,50-150人,2019-09-18 09:15:35,建邺区,本科,未融资,"移动互联网,数据服务",数据开发工程师,20k-30k
,中智行科技有限公司,429526,中智行科技有限公司,50-150人,2019-09-20 10:02:56,栖霞区,本科,天使轮,人工智能,全栈软件工程师,20k-40k
