businessZones,companyFullName,companyId,companyShortName,companySize,createTime,district,education,financeStage,industryField,positionName,salary
"['春熙路', '红星路']",爱猫爪网络科技（深圳）有限公司,309570,爱猫爪科技,少于15人,2019-09-11 15:07:10,锦江区,本科,未融资,"移动互联网,金融",python开发工程师,7k-10k
['华阳'],北京天广汇通科技有限公司成都分公司,270982,天广汇通,150-500人,2019-09-06 09:31:50,高新区,本科,不需要融资,"信息安全,数据服务",Python,10k-16k
['犀浦'],上海易宝软件有限公司南京分公司,24066,上海易宝,150-500人,2019-09-21 19:16:59,郫县,本科,未融资,移动互联网,python开发,10k-15k
,成都京波科技有限公司,328159,京波科技,15-50人,2019-09-18 11:14:03,高新区,本科,不需要融资,"移动互联网,游戏",高级python工程师,10k-18k
,深圳市意科特实业有限公司,111112,意科特,150-500人,2019-09-16 10:58:39,高新区,本科,不需要融资,"移动互联网,硬件",python开发-自然语言处理方向,8k-15k
,成都源代码教育咨询有限公司,43364,源代码,150-500人,2019-09-16 15:05:15,高新区,本科,不需要融资,教育,python讲师,10k-18k
,成都新希望金融科技有限公司,388913,希望金科,150-500人,2019-09-19 16:42:56,高新区,本科,不需要融资,"移动互联网,金融",后台研发工程师（go/Python）G00126,8k-11k
,成都美尔贝科技股份有限公司,271282,美呗,500-2000人,2019-09-20 09:46:58,高新区,本科,B轮,移动互联网,Python 开发实习生,2k-3k
,浙江企朋网络技术股份有限公司,210,企朋,150-500人,2019-09-20 14:30:54,武侯区,本科,不需要融资,"移动互联网,电商",后端工程师（Golang/Python）,15k-30k
"['紫荆', '桂溪', '桐梓林']",中森云链（成都）科技有限责任公司,431221,中森云链,50-150人,2019-09-09 10:08:37,武侯区,不限,天使轮,"移动互联网,人工智能",python教研老师,7k-9k
,成都英潭信息技术服务有限公司,167613,Intellisn,少于15人,2019-09-08 21:35:01,锦江区,本科,天使轮,硬件,Python 高级软件开发工程师,12k-18k
,深圳市意科特实业有限公司,111112,意科特,150-500人,2019-09-16 10:58:26,高新区,大专,不需要融资,"移动互联网,硬件",Python开发工程师Web方向,6k-12k
,四川聚派科技有限公司,188880,聚派,少于15人,2019-09-16 09:19:47,锦江区,本科,不需要融资,移动互联网,python后端,7k-10k
,达而观信息科技（上海）有限公司,97882,达观数据,150-500人,2019-09-20 10:06:18,双流县,本科,B轮,人工智能,高级开发工程师（python/C++）,15k-22k
,达而观信息科技（上海）有限公司,97882,达观数据,150-500人,2019-09-20 10:06:15,双流县,本科,B轮,人工智能,开发技术经理（python/C++）,20k-30k
,成都桃李天下科技有限公司,468467,桃李未来学院,15-50人,2019-09-11 14:04:46,高新区,大专,天使轮,"教育,人工智能",少儿编程Python实习教师,4k-8k
,深圳市意科特实业有限公司,111112,意科特,150-500人,2019-09-16 10:58:43,高新区,本科,不需要融资,"移动互联网,硬件",Python机器学习、深度学习、强化学习聊天机器人,8k-16k
,成都西加云杉科技有限公司,36913,西加云杉,150-500人,2019-09-16 09:03:56,高新区,本科,不需要融资,移动互联网,研发工程师(Python&amp;Shell),8k-12k
,成都新希望金融科技有限公司,388913,希望金科,150-500人,2019-09-19 16:42:57,锦江区,本科,不需要融资,"移动互联网,金融",GO高级工程师,18k-30k
,成都民航西南凯亚有限责任公司,323977,西南凯亚,150-500人,2019-09-20 09:08:31,高新区,本科,不需要融资,"信息安全,其他",大数据开发工程师,15k-22k
,成都试金石软件开发有限责任公司,465898,试金石软件,50-150人,2019-09-20 16:28:40,青羊区,本科,天使轮,"医疗丨健康,信息安全",软件开发工程师,10k-20k
"['桐梓林', '紫荆', '桂溪']",易智瑞（中国）信息技术有限公司,33854,Esri 中国,150-500人,2019-09-20 16:13:37,武侯区,本科,未融资,"企业服务,数据服务",C/S软件开发工程师,10k-15k
,成都卓杭网络科技股份有限公司,134300,成都卓杭,150-500人,2019-09-18 09:48:42,高新区,本科,不需要融资,"移动互联网,游戏",COCOS2D-X,10k-15k
,OPPO广东移动通信有限公司,6927,OPPO,2000人以上,2019-09-18 17:49:33,武侯区,本科,不需要融资,硬件,OS内核及虚拟化开发工程师（成都）,15k-30k
"['桂溪', '桐梓林']",北京芯盾时代科技有限公司,97399,Trusfort芯盾时代,150-500人,2019-09-20 09:48:15,武侯区,本科,C轮,"移动互联网,信息安全",大数据开发工程师,15k-25k
,厦门科拓通讯技术股份有限公司,211700,厦门科拓通讯技术股份有限公司,500-2000人,2019-09-21 16:09:38,武侯区,不限,不需要融资,"硬件,企业服务",大数据开发工程师,15k-25k
,成都卓杭网络科技股份有限公司,134300,成都卓杭,150-500人,2019-09-18 09:48:41,高新区,不限,不需要融资,"移动互联网,游戏",Cocos2D-X开发工程师,15k-30k
,紫光云技术有限公司,429600,紫光云,500-2000人,2019-09-20 10:42:23,双流县,不限,不需要融资,"移动互联网,数据服务",容器云研发工程师-00431,15k-25k
,多点生活（中国）网络科技有限公司,72555,多点Dmall,500-2000人,2019-09-20 16:13:36,高新区,本科,C轮,"电商,消费生活",大数据开发工程师,10k-20k
,成都二次元动漫有限公司,147086,二次元动漫,150-500人,2019-09-20 10:21:23,高新区,本科,不需要融资,"移动互联网,文娱丨内容",后端工程师,8k-16k
,北京平凯星辰科技发展有限公司,113568,PingCAP,150-500人,2019-09-17 11:13:05,高新区,本科,C轮,"数据服务,企业服务",TiDB 研发工程师,20k-40k
,瑞数信息技术（上海）有限公司,57260,瑞数信息,150-500人,2019-09-19 10:05:12,高新区,本科,C轮,信息安全,服务器开发工程师（C/C++ 开发）,10k-20k
,瑞数信息技术（上海）有限公司,57260,瑞数信息,150-500人,2019-09-19 10:05:11,高新区,本科,C轮,信息安全,服务端开发工程师,10k-20k
,平安科技（深圳）有限公司,24748,平安科技,2000人以上,2019-09-22 00:00:11,锦江区,本科,不需要融资,金融,1111C6-资深JAVA开发工程师,12k-24k
,上海维塔士电脑软件有限公司,26126,维塔士,500-2000人,2019-09-20 17:26:49,青羊区,本科,B轮,游戏,多人游戏 - 后端工程师,10k-15k
"['桐梓林', '紫荆', '桂溪']",易智瑞（中国）信息技术有限公司,33854,Esri 中国,150-500人,2019-09-20 16:13:37,武侯区,本科,未融资,"企业服务,数据服务",高级前端开发工程师,12k-18k
,成都格斗科技有限公司,123505,91Act,50-150人,2019-09-16 17:31:34,高新区,不限,不需要融资,游戏,后台／服务端／服务器开发工程师,15k-25k
,兴业数字金融服务（上海）股份有限公司,171273,兴业数金,500-2000人,2019-09-04 09:13:11,高新区,本科,不需要融资,"金融,移动互联网",研发环境工程师,10k-15k
,成都娄外科技有限公司,281404,西瓜创客,500-2000人,2019-09-18 09:05:37,高新区,本科,B轮,教育,大数据开发工程师,15k-30k
,贵州海康交通大数据有限公司,448156,海康交通大数据,50-150人,2019-09-20 18:18:41,双流区,不限,不需要融资,"移动互联网,数据服务",大数据开发工程师,12k-24k
['石羊'],四川无声信息技术有限公司,40916,无声,150-500人,2019-09-20 16:48:25,高新区,本科,不需要融资,信息安全,安全研发工程师,8k-15k
,时时同云科技（成都）有限责任公司,242106,时时同云科技（成都）有限责任公司,2000人以上,2019-09-20 18:20:52,高新区,本科,C轮,"移动互联网,消费生活",测试开发工程师(J12977),15k-25k
,要得源科技（成都）有限公司,500896,要得源科技（成都）有限公司,50-150人,2019-09-20 16:59:39,高新区,大专,未融资,"移动互联网,医疗丨健康",数据库研发工程师,6k-10k
"['桐梓林', '紫荆', '桂溪']",易智瑞（中国）信息技术有限公司,33854,Esri 中国,150-500人,2019-09-20 16:13:38,武侯区,本科,未融资,"企业服务,数据服务",web前端开发工程师,13k-20k
,成都网阔信息技术股份有限公司,36326,成都网阔,150-500人,2019-09-20 10:31:13,武侯区,不限,上市公司,"移动互联网,企业服务",java开发工程师（中高级）,8k-14k
,北京创新数智科技有限公司,528171,创新数智,15-50人,2019-09-20 12:13:58,高新区,本科,不需要融资,数据服务,大数据高级开发工程师,15k-21k
,OPPO广东移动通信有限公司,6927,OPPO,2000人以上,2019-09-10 20:30:59,高新区,本科,不需要融资,硬件,测试开发工程师（成都）,20k-35k
,北京字节跳动科技有限公司,62,字节跳动,2000人以上,2019-09-22 06:40:52,高新区,本科,C轮,文娱丨内容,资深后台研发工程师,30k-60k
,北京亿佰教育科技有限公司,102581,100课堂,150-500人,2019-09-21 10:32:21,高新区,本科,A轮,"移动互联网,教育",后端开发工程师,15k-25k
,成都萌想科技有限责任公司,21511,萌想科技,150-500人,2019-09-20 17:01:18,高新区,本科,B轮,企业服务,产研方向前端开发工程师,9k-15k
,北京好呗呗网络科技有限公司,318913,好呗呗,50-150人,2019-09-11 11:44:06,高新区,本科,未融资,移动互联网,后台/服务器/API开发工程师,14k-18k
,北京字节跳动科技有限公司,62,字节跳动,2000人以上,2019-09-22 06:35:17,高新区,本科,C轮,文娱丨内容,后台研发工程师,20k-40k
,深圳市汇合发展有限公司,296391,汇合,2000人以上,2019-09-21 21:08:24,武侯区,本科,不需要融资,"企业服务,金融",自动化开发,7k-11k
,北京国研网信息股份有限公司,374777,国研网,150-500人,2019-09-20 10:07:31,高新区,本科,上市公司,"企业服务,数据服务",高级爬虫开发工程师,14k-18k
,兴业数字金融服务（上海）股份有限公司,171273,兴业数金,500-2000人,2019-09-04 09:11:18,高新区,不限,不需要融资,"金融,移动互联网",研发工程师,11k-18k
,深圳市汇合发展有限公司,296391,汇合,2000人以上,2019-09-21 21:08:24,武侯区,本科,不需要融资,"企业服务,金融",云平台测试工程师,10k-15k
,深圳市慧择时代科技有限公司,111387,慧择网,500-2000人,2019-09-21 21:09:59,高新区,本科,B轮,"移动互联网,电商",NLP算法工程师,20k-30k
,兴业数字金融服务（上海）股份有限公司,171273,兴业数金,500-2000人,2019-09-04 09:13:11,高新区,本科,不需要融资,"金融,移动互联网",研发环境工程师,10k-15k
,北京市商汤科技开发有限公司,40459,商汤科技,2000人以上,2019-09-16 08:27:02,双流区,本科,C轮,人工智能,分布式平台开发工程师,20k-40k
,杭州初灵信息技术股份有限公司,150192,初灵信息,500-2000人,2019-09-04 15:10:04,高新区,本科,上市公司,"移动互联网,数据服务",NFV/SDN研发工程师,15k-30k
,成都娄外科技有限公司,281404,西瓜创客,500-2000人,2019-09-18 09:05:37,高新区,不限,B轮,教育,后端开发工程师,10k-20k
,腾讯科技（深圳）有限公司,451,腾讯,2000人以上,2019-09-17 16:09:38,高新区,不限,上市公司,社交,腾讯云数据库研发高级工程师,20k-40k
,成都尼毕鲁科技股份有限公司,6868,tap4fun,500-2000人,2019-09-11 14:55:06,高新区,本科,不需要融资,游戏,移动端软件开发工程师,15k-30k
"['双楠', '高升桥']",竹间智能科技（上海）有限公司,98800,竹间智能科技(上海)有限公司,150-500人,2019-09-18 11:56:25,武侯区,硕士,B轮,"移动互联网,其他",技术经理,25k-40k
,成都娄外科技有限公司,281404,西瓜创客,500-2000人,2019-09-18 09:05:37,高新区,本科,B轮,教育,大数据开发工程师,15k-30k
,成都二十三魔方生物科技有限公司,62218,23魔方,50-150人,2019-09-03 09:48:38,高新区,本科,B轮,"医疗丨健康,数据服务",平台开发工程师,15k-25k
['石羊'],成都欧督系统科技有限公司,125511,欧督（成都）,50-150人,2019-09-19 16:48:13,高新区,本科,天使轮,"企业服务,电商",javascript,7k-14k
,成都娄外科技有限公司,281404,西瓜创客,500-2000人,2019-09-18 09:05:37,高新区,不限,B轮,教育,资深后端开发工程师,15k-30k
,四川格子环保科技有限公司,82887624,格子环保,15-50人,2019-09-18 22:01:26,高新区,硕士,A轮,"人工智能,物联网",算法工程师,12k-18k
,四川弘享信息技术有限公司,509513,四川弘享信息技术有限公司,50-150人,2019-09-19 20:49:01,高新区,本科,不需要融资,"移动互联网,数据服务",java开发工程师,7k-12k
,上海易路软件有限公司,35796,易路,150-500人,2019-09-19 15:48:30,双流县,大专,B轮,"移动互联网,企业服务",java开发工程师,10k-20k
